,DQN,DDQN,Priority
0,-120.00705063296475,-120.00705063296475,-120.00705063296475
1,-125.96093282230504,-125.96093282230504,-125.96093282230504
2,-158.59214329313275,-158.59214329313275,-158.59214329313275
3,-152.4257484585804,-152.4257484585804,-152.4257484585804
4,-146.2658324881314,-146.2658324881314,-146.2658324881314
5,-143.1416588015191,-143.1416588015191,-143.1416588015191
6,-143.69055748118612,-143.69055748118612,-143.69055748118612
7,-135.00358564538993,-135.00358564538993,-135.00358564538993
8,-130.74286117195783,-130.74286117195783,-130.74286117195783
9,-127.710176492291,-127.710176492291,-127.710176492291
10,-123.10898533000362,-123.10898533000362,-123.10898533000362
11,-159.70227262041695,-159.70227262041695,-159.70227262041695
12,-157.95449825439283,-157.95449825439283,-157.95449825439283
13,-155.64501523159532,-155.64501523159532,-155.64501523159532
14,-153.12102689630134,-153.12102689630134,-153.12102689630134
15,-149.87635055142857,-149.87635055142857,-149.87635055142857
16,-159.2985768372342,-159.2985768372342,-159.2985768372342
17,-158.89675015493904,-158.89675015493904,-158.89675015493904
18,-155.33297559752432,-156.6863668469057,-156.5557372475332
19,-155.6869826663028,-164.62228591228245,-155.47399714724207
20,-153.26040365991935,-159.9184130982346,-154.16573160887765
21,-160.25354226614417,-156.74937740139242,-151.8626688534991
22,-161.16776327190172,-160.39510133129178,-159.29943671617255
23,-155.52425733976932,-158.1856138583269,-158.1614525790073
24,-160.26288457536978,-154.96005233029334,-159.55295238295005
25,-158.6343002892792,-154.26262183575096,-167.0357076065519
26,-167.02094331429487,-155.8212719882978,-175.4240045137619
27,-165.85409689402033,-151.17000595155045,-184.63761470470834
28,-167.5126370818961,-157.15726077852105,-188.09961324323984
29,-168.12469717828552,-156.35140377828526,-184.0499857214859
30,-166.74061394803803,-155.98656901652376,-180.4542872826731
31,-169.34901560701064,-158.23846982085598,-176.8170607073618
32,-168.45471094885602,-163.6017967765572,-175.5624025672394
33,-168.76916925677028,-164.14217942874626,-176.6327867591757
34,-166.44932459312798,-166.07514393620485,-177.54680039907024
35,-162.00147263839932,-168.11466370634597,-174.02326253132955
36,-161.22390852029397,-172.33729736176605,-176.12521489216704
37,-159.57753612884378,-169.7000806786737,-174.72880588249132
38,-158.46190230855566,-166.47546984565264,-175.1074328652797
39,-156.55786844681808,-166.19758114501732,-173.974999602916
40,-159.9288248435262,-164.72326417327832,-177.3612336809495
41,-157.28037176749308,-164.76037111943992,-181.72972820438383
42,-159.59190319147817,-165.38111252564642,-185.9813065818339
43,-157.87331750983296,-164.46935878220955,-187.43895360111847
44,-161.4870602674049,-167.6305289735998,-186.56984763047683
45,-160.30607918515668,-165.71464546973212,-186.65982329449687
46,-157.78656015206946,-164.40571071303694,-185.66030177565187
47,-157.72906297453147,-167.86664205220302,-187.7353410897725
48,-159.15248047774165,-171.79239387020732,-189.46837101793938
49,-159.17233669986211,-170.05487428000856,-189.01556352584427
50,-160.2638884445891,-172.70132994704437,-187.85391885632714
51,-163.2533352831895,-174.46911294553567,-187.83478313411914
52,-161.8966810589141,-173.7820953113117,-189.74984320254288
53,-160.2011981181474,-172.93615306890314,-186.7996011694551
54,-158.92672550191838,-173.2572499229551,-185.3668977081121
55,-160.2268619099516,-172.80254882554064,-184.6255523110079
56,-161.99774201276418,-176.28844977233214,-183.03868308172633
57,-162.63868723971862,-173.64678013705517,-181.02477783728614
58,-166.7543894487999,-172.11766221994844,-183.93217022379466
59,-168.9842408236256,-171.0360566222212,-185.04596255842617
60,-167.4521054329822,-170.4081216417719,-186.79308938518707
61,-170.7167672370895,-168.72553522283536,-185.7798771245292
62,-172.69190077854196,-169.51290347604487,-188.80232219442954
63,-173.28283312517857,-168.03521773844136,-187.18692801590413
64,-171.62746220400953,-166.07052976121054,-187.67542220977933
65,-172.42976718352497,-169.44284957917603,-188.36031256771633
66,-172.36158794543869,-169.63283038807887,-188.02106279466707
67,-172.32655551673776,-168.33728246117914,-187.0378788272303
68,-171.51029472501867,-171.0936729533254,-187.74523818560115
69,-174.6438163298566,-170.6310673345186,-187.05837989593337
70,-176.07851722238323,-173.88783095329995,-187.34639799928502
71,-175.30563898770995,-175.0112407854497,-186.69126127961934
72,-173.96805455701005,-173.1362669637555,-187.10572466214103
73,-175.3905617256577,-175.0097758819843,-188.25634403365788
74,-175.75882700771382,-175.16966271849444,-187.39086935838773
75,-174.85982232080065,-174.7643434409683,-191.2046989734602
76,-172.76289568740847,-175.1918543036973,-190.9517878541267
77,-172.7955181272797,-176.48215729794254,-189.78592659678816
78,-173.48999788916862,-176.2885826127185,-193.60737854027496
79,-174.11480847515722,-175.2307298857576,-192.9608533886378
80,-172.18712099389043,-175.0244427063462,-193.46272028890357
81,-171.82772824174708,-175.6313989691789,-194.1395082605237
82,-170.1999688389552,-174.15634679639464,-193.113560652781
83,-169.74945161216462,-174.7462043696606,-192.61095754948553
84,-169.76178743406334,-175.0584588377516,-193.47710907030046
85,-171.07829033060514,-175.66537130411814,-192.78662185217885
86,-170.71259142278421,-173.9479392525376,-191.5947067659288
87,-170.46917453317084,-173.95506098582106,-190.78604655131105
88,-170.40164902617758,-173.34548810212797,-190.854615037437
89,-170.6591840902454,-176.0744004304616,-189.48421716235384
90,-171.236030031657,-176.31938003546242,-188.78234996844006
91,-169.30989338283837,-176.58144933899064,-189.0088471384404
92,-167.81374897272204,-176.9123501787324,-188.34678181033541
93,-167.26823574355817,-177.4729593305824,-186.30736140122946
94,-167.32913663134957,-177.31838976704614,-185.75286837858494
95,-167.26019090875107,-175.7822892032835,-185.42201736314323
96,-166.22820913841545,-174.37737193078462,-184.2843018924631
97,-167.23708248900564,-175.08433931426032,-184.89907016010667
98,-167.06501179671974,-173.43387254617014,-184.60830025913205
99,-166.8466451173586,-173.05478862217802,-183.61720244828183
100,-168.61807117888426,-172.53305756683724,-182.79326327899747
101,-167.89215940082119,-174.28366700493166,-182.45814753344231
102,-166.143031836624,-173.7184876576897,-182.15897337576973
103,-167.01077238628824,-173.1509766122633,-181.98797932253862
104,-168.3394186138059,-173.39214881177884,-181.71928520567144
105,-168.50649417485874,-175.4750401161972,-182.7610016640745
106,-167.88526972012448,-174.9279956158287,-182.70392081102528
107,-168.68035838862045,-174.70382700012513,-183.10637598997343
108,-169.1466011544328,-175.55860441198317,-183.89323733511347
109,-169.76979478041787,-175.06334594610732,-184.07108091095333
110,-170.92590952284226,-175.85476197079362,-183.33239816132883
111,-165.44112823427423,-173.6449854031646,-177.60981894713734
112,-166.65277035276415,-173.3820767457989,-178.40170222884015
113,-167.08946749355556,-174.9122730701357,-177.2582702855398
114,-166.5931382402741,-176.11600712396586,-175.7940866028154
115,-167.07615163382033,-176.36504049271866,-174.18970828865426
116,-164.32374940067805,-174.38378761963563,-173.3153959979719
117,-163.90956328930312,-173.55868992564595,-172.8191445626239
118,-165.418170226413,-174.03882401840633,-173.19287654436093
119,-164.33382350882036,-172.3312603999559,-172.57681316152485
120,-164.55928070132427,-172.1576486266727,-171.54864615530627
121,-162.80466343104285,-173.17253361274066,-171.33555148519818
122,-161.44336329919363,-171.3827998332584,-169.1612741984404
123,-162.71203313484065,-171.88256155803435,-168.98478319238188
124,-161.45429792202123,-171.81366346261254,-167.4242189711584
125,-161.86865670603723,-171.47272744847106,-165.4467299610821
126,-159.82848077675334,-171.13484292491128,-163.64206180982328
127,-158.9751993157252,-172.51513261612112,-160.31228902183045
128,-157.54709249519468,-170.9263886144835,-158.51208700446637
129,-157.29982318310954,-171.02261303247812,-159.0755178131313
130,-158.44907968669196,-170.7158457543301,-159.20240331189316
131,-158.85056026132867,-168.7174047477757,-159.91757142606085
132,-158.93372146063007,-166.24149830770762,-158.9222735758327
133,-157.70419017232152,-165.56332981709838,-158.55920175026594
134,-157.87909642369328,-164.02430589765788,-157.96148659995947
135,-158.97034525877024,-162.8610915649784,-158.3858862621365
136,-159.83765022037343,-160.5081211544671,-156.66557234007675
137,-160.10684353528566,-161.1653630623869,-157.47262654978758
138,-159.5841342604289,-162.03171422994285,-156.42674995871735
139,-159.0504489161776,-161.21160531187758,-156.2303678622553
140,-157.43575697180682,-160.84520287021405,-153.93157143235914
141,-157.90377320194736,-159.87052575115317,-150.9747931267523
142,-156.19683183640137,-158.8842968180234,-148.33039790830867
143,-156.61294391346578,-159.30752654987083,-147.03192668276168
144,-155.2548482644513,-156.33662869094013,-146.12141533391937
145,-156.48251760156404,-157.03744468529595,-144.84487968876974
146,-157.7430389872858,-157.7016577580519,-145.05356076279116
